2.264000000000000000e+03,1.627160644531250000e+03,7.187105417251586914e-01,6.179999709129333496e-01,8.129261434078216553e-02,3.480000000000000000e+02,1.537102460861206055e-01
1.397000000000000000e+03,1.000721618652343750e+03,7.163361907005310059e-01,6.179999709129333496e-01,7.081888616085052490e-02,2.310000000000000000e+02,1.653543263673782349e-01
1.569000000000000000e+03,1.129466674804687500e+03,7.198640108108520508e-01,6.179999709129333496e-01,7.690446078777313232e-02,2.900000000000000000e+02,1.848310977220535278e-01
1.604000000000000000e+03,1.126239257812500000e+03,7.021441459655761719e-01,6.179999709129333496e-01,7.556630671024322510e-02,2.030000000000000000e+02,1.265586018562316895e-01
1.082000000000000000e+03,7.560313720703125000e+02,6.987351179122924805e-01,6.179999709129333496e-01,6.795576959848403931e-02,1.000000000000000000e+02,9.242144227027893066e-02
8.920000000000000000e+02,6.101450805664062500e+02,6.840191483497619629e-01,6.179999709129333496e-01,6.935974210500717163e-02,7.300000000000000000e+01,8.183856308460235596e-02
7.070000000000000000e+02,4.874392089843750000e+02,6.894472837448120117e-01,6.179999709129333496e-01,6.346194446086883545e-02,4.300000000000000000e+01,6.082036718726158142e-02
6.410000000000000000e+02,4.458235168457031250e+02,6.955125331878662109e-01,6.179999709129333496e-01,6.512916088104248047e-02,4.800000000000000000e+01,7.488299161195755005e-02
1.176000000000000000e+03,8.087373046875000000e+02,6.877017617225646973e-01,6.179999709129333496e-01,6.835309416055679321e-02,9.200000000000000000e+01,7.823128998279571533e-02
1.224000000000000000e+03,8.746118164062500000e+02,7.145521640777587891e-01,6.179999709129333496e-01,7.579806447029113770e-02,1.930000000000000000e+02,1.576797366142272949e-01
1.586000000000000000e+03,1.131431396484375000e+03,7.133867740631103516e-01,6.179999709129333496e-01,8.296243101358413696e-02,2.060000000000000000e+02,1.298865079879760742e-01
1.626000000000000000e+03,1.131372558593750000e+03,6.958010792732238770e-01,6.179999709129333496e-01,7.674502581357955933e-02,1.700000000000000000e+02,1.045510470867156982e-01
1.634000000000000000e+03,1.141282470703125000e+03,6.984592676162719727e-01,6.179999709129333496e-01,8.297346532344818115e-02,2.120000000000000000e+02,1.297429651021957397e-01
1.135000000000000000e+03,8.092274780273437500e+02,7.129757404327392578e-01,6.179999709129333496e-01,7.500338554382324219e-02,1.360000000000000000e+02,1.198237910866737366e-01
