5.15E+02,2.65E+05,2.27E+01,6.23E+04,3.88E+09,2.50E+02,,,,,,,,,
5.04E+02,2.54E+05,2.24E+01,6.12E+04,3.75E+09,2.47E+02,,,,,,,,,
5.01E+02,2.51E+05,2.24E+01,6.16E+04,3.80E+09,2.48E+02,,,,,,,,,
5.03E+02,2.53E+05,2.24E+01,6.16E+04,3.80E+09,2.48E+02,,,,,,,,,
4.93E+02,2.43E+05,2.22E+01,6.12E+04,3.74E+09,2.47E+02,,,,,,,,,
4.91E+02,2.41E+05,2.22E+01,6.11E+04,3.73E+09,2.47E+02,,,,,,,,,
4.87E+02,2.37E+05,2.21E+01,6.13E+04,3.75E+09,2.48E+02,,,,,,,,,
4.93E+02,2.43E+05,2.22E+01,6.09E+04,3.71E+09,2.47E+02,,,,,,,,,
4.89E+02,2.39E+05,2.21E+01,6.04E+04,3.65E+09,2.46E+02,,,,,,,,,
4.80E+02,2.30E+05,2.19E+01,5.90E+04,3.49E+09,2.43E+02,,,,,,,,,
4.77E+02,2.28E+05,2.18E+01,5.88E+04,3.46E+09,2.43E+02,,,,,,,,,
4.66E+02,2.17E+05,2.16E+01,5.78E+04,3.34E+09,2.40E+02,,,,,,,,,
4.71E+02,2.22E+05,2.17E+01,5.81E+04,3.37E+09,2.41E+02,,,,,,,,,
4.69E+02,2.20E+05,2.17E+01,5.74E+04,3.30E+09,2.40E+02,,,,,,,,,
4.56E+02,2.08E+05,2.14E+01,5.64E+04,3.18E+09,2.37E+02,,,,,,,,, 
4.65E+02,2.16E+05,2.16E+01,5.62E+04,3.16E+09,2.37E+02,,,,,,,,,
4.50E+02,2.03E+05,2.12E+01,5.57E+04,3.10E+09,2.36E+02,,,,,,,,,
4.49E+02,2.02E+05,2.12E+01,5.51E+04,3.03E+09,2.35E+02,,,,,,,,,
4.46E+02,1.99E+05,2.11E+01,5.49E+04,3.02E+09,2.34E+02,,,,,,,,,
4.44E+02,1.97E+05,2.11E+01,5.46E+04,2.98E+09,2.34E+02,,,,,,,,,
4.38E+02,1.92E+05,2.09E+01,5.40E+04,2.91E+09,2.32E+02,,,,,,,,,
4.29E+02,1.84E+05,2.07E+01,5.33E+04,2.84E+09,2.31E+02,,,,,,,,,
4.26E+02,1.81E+05,2.06E+01,5.28E+04,2.78E+09,2.30E+02,,,,,,,,,
4.27E+02,1.82E+05,2.07E+01,5.30E+04,2.81E+09,2.30E+02,,,,,,,,,
4.22E+02,1.78E+05,2.05E+01,5.24E+04,2.74E+09,2.29E+02,,,,,,,,,
4.21E+02,1.77E+05,2.05E+01,5.21E+04,2.72E+09,2.28E+02,,,,,,,,,
4.14E+02,1.71E+05,2.03E+01,5.17E+04,2.67E+09,2.27E+02,,,,,,,,,
4.11E+02,1.69E+05,2.03E+01,5.12E+04,2.62E+09,2.26E+02,,,,,,,,,
4.04E+02,1.63E+05,2.01E+01,5.08E+04,2.58E+09,2.25E+02,,,,,,,,,
4.08E+02,1.66E+05,2.02E+01,5.06E+04,2.56E+09,2.25E+02,,,,,,,,,
4.13E+02,1.71E+05,2.03E+01,5.03E+04,2.53E+09,2.24E+02,,,,,,,,,
4.02E+02,1.62E+05,2.00E+01,4.92E+04,2.42E+09,2.22E+02,,,,,,,,,
4.10E+02,1.68E+05,2.02E+01,4.90E+04,2.40E+09,2.21E+02,,,,,,,,,
4.04E+02,1.63E+05,2.01E+01,4.82E+04,2.33E+09,2.20E+02,,,,,,,,,
4.05E+02,1.64E+05,2.01E+01,4.78E+04,2.28E+09,2.19E+02,,,,,,,,,
3.98E+02,1.58E+05,1.99E+01,4.75E+04,2.25E+09,2.18E+02,,,,,,,,,
3.95E+02,1.56E+05,1.99E+01,4.66E+04,2.17E+09,2.16E+02,,,,,,,,,
3.84E+02,1.47E+05,1.96E+01,4.57E+04,2.09E+09,2.14E+02,,,,,,,,,
3.88E+02,1.51E+05,1.97E+01,4.57E+04,2.09E+09,2.14E+02,,,,,,,,,
3.86E+02,1.49E+05,1.96E+01,4.54E+04,2.06E+09,2.13E+02,,,,,,,,,
