4.40E+02,1.94E+05,2.10E+01,4.08E+04,1.66E+09,2.02E+02
4.38E+02,1.92E+05,2.09E+01,4.06E+04,1.64E+09,2.01E+02
4.40E+02,1.94E+05,2.10E+01,4.05E+04,1.64E+09,2.01E+02
4.36E+02,1.90E+05,2.09E+01,4.02E+04,1.61E+09,2.00E+02
4.12E+02,1.70E+05,2.03E+01,3.38E+04,1.14E+09,1.84E+02
3.88E+02,1.51E+05,1.97E+01,3.26E+04,1.06E+09,1.81E+02
4.07E+02,1.66E+05,2.02E+01,3.30E+04,1.09E+09,1.82E+02
3.93E+02,1.54E+05,1.98E+01,3.27E+04,1.07E+09,1.81E+02
4.10E+02,1.68E+05,2.02E+01,3.30E+04,1.09E+09,1.82E+02
3.84E+02,1.47E+05,1.96E+01,3.14E+04,9.84E+08,1.77E+02
3.76E+02,1.41E+05,1.94E+01,3.15E+04,9.89E+08,1.77E+02
3.92E+02,1.54E+05,1.98E+01,3.22E+04,1.04E+09,1.80E+02
3.88E+02,1.51E+05,1.97E+01,3.25E+04,1.06E+09,1.80E+02
3.93E+02,1.54E+05,1.98E+01,3.52E+04,1.24E+09,1.88E+02
4.13E+02,1.71E+05,2.03E+01,3.70E+04,1.37E+09,1.92E+02
4.14E+02,1.71E+05,2.03E+01,3.66E+04,1.34E+09,1.91E+02
3.80E+02,1.44E+05,1.95E+01,3.34E+04,1.11E+09,1.83E+02
3.54E+02,1.25E+05,1.88E+01,3.08E+04,9.48E+08,1.75E+02
3.46E+02,1.20E+05,1.86E+01,2.99E+04,8.92E+08,1.73E+02
3.35E+02,1.12E+05,1.83E+01,2.85E+04,8.14E+08,1.69E+02
3.45E+02,1.19E+05,1.86E+01,3.03E+04,9.17E+08,1.74E+02
3.34E+02,1.12E+05,1.83E+01,2.92E+04,8.51E+08,1.71E+02
3.47E+02,1.20E+05,1.86E+01,3.01E+04,9.03E+08,1.73E+02
3.40E+02,1.16E+05,1.84E+01,3.14E+04,9.85E+08,1.77E+02
3.35E+02,1.12E+05,1.83E+01,3.12E+04,9.75E+08,1.77E+02
3.45E+02,1.19E+05,1.86E+01,3.27E+04,1.07E+09,1.81E+02
3.22E+02,1.04E+05,1.79E+01,3.09E+04,9.55E+08,1.76E+02
3.26E+02,1.06E+05,1.81E+01,3.09E+04,9.58E+08,1.76E+02
3.36E+02,1.13E+05,1.83E+01,3.21E+04,1.03E+09,1.79E+02
3.24E+02,1.05E+05,1.80E+01,3.01E+04,9.06E+08,1.74E+02
3.24E+02,1.05E+05,1.80E+01,3.16E+04,9.98E+08,1.78E+02
3.16E+02,9.99E+04,1.78E+01,3.02E+04,9.14E+08,1.74E+02
3.18E+02,1.01E+05,1.78E+01,3.01E+04,9.08E+08,1.74E+02
3.04E+02,9.24E+04,1.74E+01,2.89E+04,8.32E+08,1.70E+02
3.12E+02,9.73E+04,1.77E+01,2.95E+04,8.72E+08,1.72E+02
3.06E+02,9.36E+04,1.75E+01,2.83E+04,8.04E+08,1.68E+02
3.06E+02,9.36E+04,1.75E+01,2.85E+04,8.11E+08,1.69E+02
2.90E+02,8.41E+04,1.70E+01,2.60E+04,6.75E+08,1.61E+02
2.82E+02,7.95E+04,1.68E+01,2.51E+04,6.31E+08,1.58E+02
2.82E+02,7.95E+04,1.68E+01,2.50E+04,6.24E+08,1.58E+02
2.66E+02,7.08E+04,1.63E+01,2.27E+04,5.16E+08,1.51E+02
2.52E+02,6.35E+04,1.59E+01,2.14E+04,4.59E+08,1.46E+02
