2.19E+03,4.79E+06,4.68E+01,2.04E+05,4.14E+10,4.51E+02
2.23E+03,4.96E+06,4.72E+01,2.08E+05,4.33E+10,4.56E+02
2.18E+03,4.74E+06,4.67E+01,1.98E+05,3.94E+10,4.45E+02
2.23E+03,4.97E+06,4.72E+01,2.10E+05,4.41E+10,4.58E+02
2.17E+03,4.69E+06,4.65E+01,1.98E+05,3.92E+10,4.45E+02
2.09E+03,4.38E+06,4.57E+01,1.90E+05,3.61E+10,4.36E+02
2.08E+03,4.31E+06,4.56E+01,1.83E+05,3.36E+10,4.28E+02
2.02E+03,4.08E+06,4.49E+01,1.69E+05,2.86E+10,4.11E+02
2.03E+03,4.13E+06,4.51E+01,1.72E+05,2.96E+10,4.15E+02
1.95E+03,3.82E+06,4.42E+01,1.67E+05,2.80E+10,4.09E+02
1.97E+03,3.89E+06,4.44E+01,1.70E+05,2.89E+10,4.12E+02
1.96E+03,3.83E+06,4.42E+01,1.64E+05,2.71E+10,4.06E+02
1.91E+03,3.66E+06,4.37E+01,1.60E+05,2.54E+10,3.99E+02
1.74E+03,3.04E+06,4.18E+01,1.27E+05,1.62E+10,3.57E+02
1.77E+03,3.15E+06,4.21E+01,1.36E+05,1.84E+10,3.68E+02
1.84E+03,3.37E+06,4.28E+01,1.45E+05,2.11E+10,3.81E+02
1.68E+03,2.83E+06,4.10E+01,1.23E+05,1.52E+10,3.51E+02
1.66E+03,2.76E+06,4.07E+01,1.19E+05,1.41E+10,3.45E+02
1.67E+03,2.80E+06,4.09E+01,1.26E+05,1.60E+10,3.56E+02
1.65E+03,2.71E+06,4.06E+01,1.20E+05,1.44E+10,3.47E+02
1.63E+03,2.66E+06,4.04E+01,1.21E+05,1.45E+10,3.47E+02
1.55E+03,2.39E+06,3.93E+01,1.08E+05,1.17E+10,3.29E+02
1.58E+03,2.51E+06,3.98E+01,1.14E+05,1.30E+10,3.38E+02
1.53E+03,2.33E+06,3.91E+01,1.08E+05,1.17E+10,3.29E+02
1.49E+03,2.23E+06,3.87E+01,1.05E+05,1.10E+10,3.24E+02
1.59E+03,2.52E+06,3.98E+01,1.20E+05,1.44E+10,3.46E+02
1.49E+03,2.23E+06,3.87E+01,1.09E+05,1.18E+10,3.30E+02
1.48E+03,2.18E+06,3.84E+01,1.10E+05,1.20E+10,3.31E+02
1.55E+03,2.41E+06,3.94E+01,1.17E+05,1.38E+10,3.43E+02
1.47E+03,2.16E+06,3.84E+01,1.07E+05,1.14E+10,3.27E+02
1.51E+03,2.29E+06,3.89E+01,1.13E+05,1.27E+10,3.36E+02
1.58E+03,2.49E+06,3.97E+01,1.25E+05,1.55E+10,3.53E+02
1.53E+03,2.34E+06,3.91E+01,1.19E+05,1.42E+10,3.45E+02
1.51E+03,2.29E+06,3.89E+01,1.21E+05,1.46E+10,3.48E+02
1.44E+03,2.07E+06,3.79E+01,1.10E+05,1.22E+10,3.32E+02
1.47E+03,2.16E+06,3.83E+01,1.15E+05,1.32E+10,3.39E+02
1.49E+03,2.21E+06,3.85E+01,1.21E+05,1.46E+10,3.48E+02
